Designator,Mid X,Mid Y,Rotation,Layer
C1,143.54,-99.23,90.0,top
C2,126.85,-97.11,180.0,top
C3,116.46,-109.55,180.0,top
C4,116.41,-115.12,0.0,top
C5,178.17,-109.56,0.0,top
C6,128.28,-102.27,180.0,top
C7,131.87,-107.71,90.0,top
C8,165.89,-107.5,90.0,top
C9,133.79,-107.71,90.0,top
D1,135.37,-103.48,0.0,top
D10,144.90404,-139.464,0.0,top
D11,151.99404,-139.464,0.0,top
D12,144.89404,-135.904,0.0,top
D13,151.99404,-135.904,0.0,top
D14,144.89904,-132.344,0.0,top
D15,151.99404,-132.344,0.0,top
D16,144.89904,-128.784,0.0,top
D17,151.99404,-128.784,0.0,top
D18,164.025,-139.454,0.0,top
D19,171.125,-139.454,0.0,top
D2,125.7713,-139.48052,0.0,top
D20,164.025,-135.894,0.0,top
D21,171.125,-135.894,0.0,top
D22,164.03,-132.334,0.0,top
D23,171.125,-132.334,0.0,top
D24,164.03,-128.774,0.0,top
D25,171.125,-128.774,0.0,top
D3,132.8613,-139.48052,0.0,top
D4,125.7713,-135.92052,0.0,top
D5,132.8613,-135.92052,0.0,top
D6,125.7713,-132.36052,0.0,top
D7,132.8613,-132.36052,0.0,top
D8,125.7713,-128.80052,0.0,top
D9,132.8613,-128.80052,0.0,top
J1,148.59,-96.66,180.0,top
J10,166.37596,-144.744,0.0,top
J11,159.16596,-144.744,0.0,top
J12,119.51,-104.87,270.0,top
J13,163.63,-108.95,180.0,top
J2,177.49,-104.87,90.0,top
J4,137.52596,-144.74,0.0,top
J5,130.30596,-144.74,0.0,top
J7,151.95,-144.744,0.0,top
J8,144.74,-144.744,0.0,top
JP1,117.8068,-128.45,270.0,top
JP10,155.67,-95.33,180.0,bottom
JP11,141.5782,-122.63952,90.0,bottom
JP12,141.5782,-115.15752,90.0,bottom
JP13,160.714,-122.628,90.0,bottom
JP14,160.704,-115.138,90.0,bottom
JP15,179.07,-134.72,270.0,top
JP16,179.07,-139.8,270.0,top
JP2,117.8,-133.53,270.0,top
JP3,121.74,-104.8766,90.0,top
JP4,175.26,-104.8766,90.0,top
JP5,117.8,-138.61,270.0,top
JP6,179.07,-129.64,270.0,top
JP7,122.454602,-122.653864,90.0,bottom
JP8,122.454602,-115.161864,90.0,bottom
JP9,142.57,-94.62,180.0,bottom
LED1,142.5714,-94.6141,90.0,top
LED2,155.67,-95.33,90.0,top
Q1,136.77,-98.32,270.0,top
R1,154.3951,-101.79,0.0,top
R11,141.94,-107.81,180.0,top
R12,159.72,-107.81,180.0,top
R13,137.92,-107.81,180.0,top
R14,155.71,-107.81,180.0,top
R2,158.41,-101.7874,0.0,top
R3,124.66,-102.27,0.0,top
R4,132.69,-94.47,180.0,top
R5,152.95,-96.34,270.0,top
SJ_A0,173.1,-95.9426,270.0,top
SJ_A1,170.56,-95.9426,270.0,top
SJ_A2,168.02,-95.9426,270.0,top
SJ_A3,165.48,-95.9426,270.0,top
SJ_A4,162.94,-95.9426,270.0,top
SJ_A5,160.4,-95.9426,270.0,top
TP1,160.4,-95.9106,270.0,bottom
TP2,162.94,-95.9106,270.0,bottom
TP3,165.48,-95.9106,270.0,bottom
TP4,168.02,-95.9106,270.0,bottom
TP5,170.56,-95.9106,270.0,bottom
TP6,173.1,-95.9106,270.0,bottom
U$47,116.59,-95.65,0.0,top
U$48,116.591884,-145.754686,0.0,top
U$49,180.27,-95.65,0.0,top
U$50,180.26,-145.76,0.0,top
U1,148.5011,-104.7496,270.0,top
U2,129.324602,-118.903864,270.0,top
U3,148.4482,-118.89952,270.0,top
U4,167.575,-118.881,270.0,top
U5,117.56,-112.34,0.0,top
U6,117.56,-117.9,0.0,top
U7,179.32,-112.33,0.0,top
U8,170.5,-104.57,90.0,top
