Designator,Mid X,Mid Y,Rotation,Layer
C1,16.46,94.33,180.0,top
C10,41.06,76.6,0.0,top
C11,42.66,68.54,90.0,top
C12,49.73,77.61,270.0,top
C13,30.51,76.6,0.0,top
C14,50.6087,55.12672,270.0,top
C15,50.6287,35.98672,270.0,top
C16,50.6487,16.86576,270.0,top
C17,30.74,36.25,180.0,top
C18,56.1,87.71,270.0,top
C19,48.1,86.36,180.0,top
C2,27.18,10.025828,90.0,top
C3,43.441613,13.685,270.0,top
C4,45.8367,56.55672,180.0,top
C5,45.8307,37.40672,180.0,top
C6,45.8287,18.28576,180.0,top
C7,54.3087,57.13672,270.0,top
C8,54.3087,38.01672,270.0,top
C9,54.3087,18.91576,270.0,top
D1,12.3525,89.69,0.0,top
D2,45.18,64.64,0.0,top
D3,12.3555,92.86,0.0,top
J1,58.675948,75.52,90.0,top
J10,31.027535,8.578328,0.0,top
J12,40.59,8.57826,0.0,top
J13,50.15,8.57826,0.0,top
J19,8.575322,78.910828,270.0,top
J2,4.91284,88.111222,270.0,top
J20,8.575322,69.354008,270.0,top
J21,8.575322,59.790828,270.0,top
J22,8.575147,50.230828,270.0,top
J23,8.575322,40.670828,270.0,top
J24,8.575147,31.110828,270.0,top
J25,8.575322,21.550828,270.0,top
J26,8.577401,11.990828,270.0,top
J28,13.76,75.940828,180.0,top
J29,13.75932,66.384008,180.0,top
J3,62.323715,88.10908,90.0,top
J30,13.76,56.820828,180.0,top
J31,13.759825,47.260828,180.0,top
J32,13.76,37.700828,180.0,top
J33,13.75784,28.140828,180.0,top
J34,13.75784,18.580828,180.0,top
J35,13.75784,9.020828,180.0,top
J4,58.6815,62.14576,90.0,top
J5,58.6815,52.58576,90.0,top
J6,58.6815,43.02076,90.0,top
J7,58.679,33.45576,90.0,top
J8,58.6775,23.88576,90.0,top
J9,58.6775,14.32576,90.0,top
JP1,25.292535,3.969028,0.0,top
JP11,12.3325,89.69,0.0,bottom
JP12,35.562824,92.98,0.0,top
JP13,40.642824,92.98,0.0,top
JP14,45.722824,92.98,0.0,top
JP15,50.802824,92.98,0.0,top
JP2,20.212535,3.975828,0.0,top
JP3,9.31,89.44,90.0,top
JP4,57.95743,89.44,90.0,top
JP5,12.3755,92.86,0.0,bottom
JP7,45.485,56.55672,180.0,bottom
JP8,45.485,37.40672,180.0,bottom
JP9,45.485,18.28576,180.0,bottom
Q1,51.69,70.3,0.0,top
R1,27.12,90.3,0.0,top
R10,13.435,73.36,180.0,top
R11,15.55,88.61,90.0,top
R12,15.55,84.59,90.0,top
R13,33.446382,85.276893,0.0,top
R14,38.824431,85.276201,0.0,top
R15,33.70818,36.25,180.0,top
R16,13.435,63.8,180.0,top
R17,36.67,49.86,0.0,top
R18,13.435,54.24,180.0,top
R19,39.635,49.86,0.0,top
R2,31.12,90.3,0.0,top
R20,13.435,44.68,180.0,top
R21,26.23,53.73,0.0,top
R22,13.44,35.12,180.0,top
R23,28.48,42.645,270.0,top
R24,13.44,25.56,180.0,top
R25,28.48,39.685,270.0,top
R26,13.44,16.0,180.0,top
R27,28.48,36.72,90.0,top
R28,13.44,14.15,180.0,top
R29,12.3555,88.18,180.0,top
R3,16.459003,92.81,0.0,top
R30,41.635,21.146552,90.0,top
R31,50.21,63.62,180.0,top
R32,48.1,87.875,180.0,top
R33,39.64318,36.25182,0.0,top
R34,36.67318,36.25182,180.0,top
R35,40.91,16.585,180.0,top
R36,42.39,18.886552,180.0,top
R37,44.951613,13.685,270.0,top
R38,46.461613,13.685,270.0,top
R4,12.3555,94.38,180.0,top
R5,53.9237,62.18672,270.0,top
R6,53.92086,43.02672,270.0,top
R7,53.9187,23.92326,270.0,top
R8,30.745,49.86,0.0,top
R9,33.71,49.86,0.0,top
SJ_A0,31.849077,94.082021,270.0,top
SJ_A1,29.309077,94.082021,270.0,top
SJ_A2,26.769077,94.082021,270.0,top
SJ_A3,24.229077,94.082021,270.0,top
SJ_A4,21.689077,94.082021,270.0,top
SJ_A5,19.149077,94.082021,270.0,top
Sign_Pb-Free,52.0832,80.05496,180.0,bottom
Sign_RoHS,57.0945,67.7265,0.0,bottom
U1,21.5022,87.1717,270.0,top
U10,21.655,62.96,0.0,top
U11,21.655,57.31,0.0,top
U12,21.655,50.15,0.0,top
U13,21.655,44.5,0.0,top
U14,21.655,38.85,0.0,top
U15,21.655,33.2,0.0,top
U16,39.71,14.005,0.0,top
U17,23.35,9.7065,0.0,top
U2,48.5537,60.09172,0.0,top
U3,48.5487,40.93672,0.0,top
U4,48.5437,21.82076,0.0,top
U5,38.03,69.89,180.0,top
U6,52.47,86.405,180.0,top
U7,35.19,43.06,180.0,top
U8,21.655,74.258883,0.0,top
U9,21.655,68.61,0.0,top
