Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0603,2,10uF,
"C10, C13",C_Radial_D10.0mm_H20.0mm_P5.00mm,2,1000uF/35v,
C11,0805,1,10uF/100v,
"C14, C15, C16",C_Radial_D6.3mm_H11.0mm_P2.50mm,3,47uF/35v,
"C17, C18, C19, C2, C3, C4, C5, C6",0603,8,0.1uF,
"C7, C8, C9",0603,3,0.1uF/35v,
D1,0603,1,GREEN,
D2,D_SMA,1,Z1SMA4740,
D3,0603,1,RED,
"J1, J10, J12, J13, J19, J20, J21, J22, J23, J24, J25, J26, J4, J5, J6, J7, J8, J9","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",18,TERMBLOCK_1X2,
"J2, J3",1X04_1MM_RA_STRESSRELIEF,2,QWIIC_RIGHT_ANGLE,
"J28, J29, J30, J31, J32, J33, J34, J35",PinHeader_1x02_P2.54mm_Vertical,8,Conn_01x02,
"JP1, JP12, JP13, JP14, JP15, JP2",3X02,6,Header 2x3,
"JP3, JP4",1X06-CLEANBIG,2,PINHD-1X6CB,
Q1,TO252,1,AOD417,
"R1, R2",RESPACK_4X0603,2,10k/603x4,
"R10, R16, R18, R20, R4",0603,5,750R,
"R11, R12, R13, R14",RESPACK_4X0603,4,220R/603x4,
"R15, R17, R19, R3, R32, R33, R34, R36, R8, R9",0603,10,10K,
"R21, R23, R25, R27",0603,4,200R,
"R22, R24, R26, R28",0603,4,100R,
R29,0603,1,1k3,
R30,0603,1,2K,
R31,0603,1,100k,
"R35, R37, R38",0603,3,270R,
"R5, R6, R7",1206,3,250m/1w,
Sign_Pb-Free,LOGO_PBFREE,1,,
Sign_RoHS,LOGO_ROHS_1,1,Val**,
U1,TSSOP28,1,PCA9685,
"U10, U11, U12, U13, U14, U15, U8, U9",SMDIP-4_W9.53mm,8,LTV-817S,
"U16, U17",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,
"U2, U3, U4",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,3,DRV8870DDA,
U5,Converter_DCDC_RECOM_R-78HB-0.5L_THT,1,K7805-2000R3L,
U6,SSOP-8_2.95x2.8mm_P0.65mm,1,TCA9406DC,
U7,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP23008-xSO,
