Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6, C7",0805-NO,3,10uF,
C2,"E3,5-8",1,1000uF,
"C3, C4, C5, C8, C9",0805-NO,5,1.0uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",D_SMA,25,M7,
"J1, J10, J11, J4, J5, J7, J8",TERMBLOCK_1X2-3.5MM,7,TERMBLOCK_1X2,
"J12, J2",1X04_1MM_RA_STRESSRELIEF,2,QWIIC_RIGHT_ANGLE,
J13,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"JP1, JP15, JP16, JP2, JP5, JP6",3X02,6,~,
"JP10, JP11, JP12, JP13, JP14, JP7, JP8, JP9",SJ_Closed,8,JUMPER-SMT_2_NC_TRACE_SILK,
"JP3, JP4",1X06-CLEANBIG,2,PINHD-1X6CB,
LED1,CHIPLED_0805_NOOUTLINE,1,GREEN,
LED2,CHIPLED_0805_NOOUTLINE,1,RED,
Q1,TO252,1,AOD417,
"R1, R2",RESPACK_4X0603,2,10K,
"R11, R12, R13, R14",RESPACK_4X0603,4,220,
R3,0805-NO,1,10K,
R4,_0805MP,1,1k,
R5,_0805MP,1,470,
"SJ_A0, SJ_A1, SJ_A2, SJ_A3, SJ_A4, SJ_A5",SOLDERJUMPER_REFLOW_NOPASTE,6,SOLDERJUMPERREFLOW_NOPASTE,
"TP1, TP2, TP3, TP4, TP5, TP6",TESTPOINT_ROUND_1MM,6,TESTPOINTROUND1MM,
"U$47, U$48, U$49, U$50",MOUNTINGHOLE_2.5_PLATED,4,MOUNTINGHOLE2.5,
U1,TSSOP28,1,PCA9685,
"U2, U3, U4",POWERSO20_L298_PAD,3,L298HN,
"U5, U6, U7",TSSOP-10_3x3mm_P0.5mm,3,ADS1115IDGS,
U8,TO-252-3_TabPin2,1,L7805,
